"","sampling","area","pathway","gas","flux_mean_g_day","flux_2.5_g_day","flux_97.5_g_day","co2_eq_conv","flux_mean_g_m2_day","flux_2.5_g_m2_day","flux_97.5_g_m2_day","flux_mean_g_day_co2_eq","flux_2.5_g_day_co2_eq","flux_97.5_g_day_co2_eq"
"1","Catfish1",1752.25242128636,"diffusion","CH4",20.6428525180031,13.3401656449972,28.9100929293959,27,0.0117807527427177,0.00761315292416824,0.0164988175095072,557.357017986084,360.184472414923,780.572509093688
"2","Catfish1",1752.25242128636,"diffusion","CO2",5511.99890031417,4798.48983091024,6379.03852874486,1,3.14566487873231,2.73846951079546,3.64047922048918,5511.99890031417,4798.48983091024,6379.03852874486
"3","Catfish1",1752.25242128636,"ebullition","CH4",214.341852342711,119.581915861578,356.66288123105,27,0.122323616014956,0.0682446857592526,0.203545377879527,5787.23001325318,3228.71172826259,9629.89779323835
"4","Catfish2",1752.25242128636,"diffusion","CH4",19.629636702689,11.9686272070428,30.3335966667798,27,0.0112025165234347,0.00683042412248824,0.017311202597461,530.000190972602,323.152934590156,819.007110003054
"5","Catfish2",1752.25242128636,"diffusion","CO2",4261.23547469935,3649.21516778405,4976.30543914278,1,2.43186165585155,2.08258531901761,2.83994781727256,4261.23547469935,3649.21516778405,4976.30543914278
"6","Catfish2",1752.25242128636,"ebullition","CH4",66.3430717802153,36.8187322797688,115.108154709256,27,0.0378615951527757,0.0210122307907781,0.0656915369674607,1791.26293806581,994.105771553757,3107.9201771499
"7","Deans1",4157.61481472687,"diffusion","CH4",50.0886914482895,38.3343468055407,62.2540034123993,27,0.0120474583818752,0.00922027376604368,0.0149734898942265,1352.39466910382,1035.0273637496,1680.85809213478
"8","Deans1",4157.61481472687,"diffusion","CO2",13492.912087523,11512.3442835419,15746.1419026876,1,3.24534924200509,2.76897807915336,3.78730175939158,13492.912087523,11512.3442835419,15746.1419026876
"9","Deans1",4157.61481472687,"ebullition","CH4",96.6072816457957,27.1078652866237,201.119581842895,27,0.0232362270077543,0.00652005211993274,0.0483737890125129,2608.39660443648,731.91236273884,5430.22870975817
"10","Deans2",4157.61481472687,"diffusion","CH4",25.7444946539331,21.1508145625921,31.1596040287442,27,0.0061921307771808,0.00508724725717085,0.00749458653994892,695.101355656193,571.071993189988,841.309308776094
"11","Deans2",4157.61481472687,"diffusion","CO2",4982.7818628292,4280.08147863621,5732.67871449552,1,1.19847125933347,1.02945599084252,1.37883834120216,4982.7818628292,4280.08147863621,5732.67871449552
"12","Deans2",4157.61481472687,"ebullition","CH4",158.138275575326,78.7026278561121,256.143205656092,27,0.0380358168378603,0.018929754525921,0.0616082097718134,4269.7334405338,2124.97095211503,6915.86655271448
"13","Pick1",7717.06223701918,"diffusion","CH4",2283.48643363201,1917.18104539729,2694.18365153038,27,0.295901000082388,0.248434052559595,0.34912037363211,61654.1337080642,51763.8882257268,72742.9585913203
"14","Pick1",7717.06223701918,"diffusion","CO2",25929.8971586177,20635.0810541868,31432.484472754,1,3.36007360861112,2.67395550539934,4.07311532644775,25929.8971586177,20635.0810541868,31432.484472754
"15","Pick1",7717.06223701918,"ebullition","CH4",1770.53938082921,1184.97243300997,2503.30439701315,27,0.229431787181375,0.153552271138308,0.32438566907037,47804.5632823887,31994.2556912691,67589.2187193551
"16","Sister31",1174.64981024584,"diffusion","CH4",13.6030439052108,11.6075677096104,15.9037105821407,27,0.0115805100265276,0.00988172611817054,0.013539107948106,367.282185440691,313.404328159481,429.400185717799
"17","Sister31",1174.64981024584,"diffusion","CO2",-114.847203131504,-178.330229247201,-51.14731330924,1,-0.0977714397344244,-0.1518156540713,-0.0435426055179249,-114.847203131504,-178.330229247201,-51.14731330924
"18","Sister31",1174.64981024584,"ebullition","CH4",81.3304980065035,58.5144482416919,107.444048312128,27,0.0692380804024323,0.0498143767881301,0.091469004102287,2195.9234461756,1579.89010252568,2900.98930442745
