"site","date","flux_round_diffusion_CH4","flux_round_diffusion_CO2","flux_round_ebullition_CH4","flux_round_2.5_diffusion_CH4","flux_round_2.5_diffusion_CO2","flux_round_2.5_ebullition_CH4","flux_round_97.5_diffusion_CH4","flux_round_97.5_diffusion_CO2","flux_round_97.5_ebullition_CH4","type","sampling"
"Catfish","2022-09-06",0.0117,3.1362,0.1223,0.0075,2.7317,0.0682,0.0164,3.6253,0.2035,"calculated","Catfish
06 Sept"
"Catfish","2022-09-18",0.0112,2.4247,0.0379,0.0068,2.0766,0.021,0.0173,2.8311,0.0657,"calculated","Catfish
18 Sept"
"Deans","2022-08-16",0.0121,3.22,0.0232,0.009,2.757,0.0065,0.0151,3.7506,0.0484,"calculated","Deans
16 Aug"
"Deans","2022-08-30",0.0064,1.1893,0.038,0.0052,1.023,0.0189,0.0077,1.3659,0.0616,"calculated","Deans
30 Aug"
"Pick","2022-09-13",0.2949,3.6217,0.2294,0.2478,2.9411,0.1536,0.3478,4.3332,0.3244,"calculated","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0114,-0.0744,0.0692,0.0098,-0.1262,0.0498,0.0133,-0.0221,0.0915,"calculated","Sister
22 Aug"
"Catfish","2022-09-06",0.00975473702427248,4.09463617329346,NA,0.00561978932710226,2.53383854824303,NA,0.0141946875345544,5.74605485076765,NA,"four random","Catfish
06 Sept"
"Catfish","2022-09-18",0.0168904213746237,2.53973522886867,NA,0.00122203409027416,1.9283490258896,NA,0.0428710877520023,3.24012787826804,NA,"four random","Catfish
18 Sept"
"Deans","2022-08-16",0.0132245589797148,4.07153933123371,NA,0.00761058597233576,2.63879122547224,NA,0.0194389628136444,5.76252970293821,NA,"four random","Deans
16 Aug"
"Deans","2022-08-30",0.00818999647622238,1.93061232501853,NA,0.00477265611664708,1.06460432195053,NA,0.0119106255793816,2.77262598140556,NA,"four random","Deans
30 Aug"
"Pick","2022-09-13",0.385184312344155,-3.85337660022757,NA,0.200890054896106,-10.4739307226287,NA,0.628071619432672,2.05947159935928,NA,"four random","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0111123046698857,-0.0614016372186102,NA,0.00552718359299134,-0.311934229918996,NA,0.0185790479849978,0.194462991178637,NA,"four random","Sister
22 Aug"
"Catfish","2022-09-06",0.0094446495958353,3.97463159845112,NA,0.00600193631896347,2.82800891599382,NA,0.0131178536157172,5.31378522134187,NA,"two_edge_center","Catfish
06 Sept"
"Catfish","2022-09-18",0.0210615247965981,2.47342030673145,NA,0.00124989159821664,1.90914729816762,NA,0.0427338634510238,3.00024610835545,NA,"two_edge_center","Catfish
18 Sept"
"Deans","2022-08-16",0.012464085239643,3.85435656776886,NA,0.0073894111164048,2.34781767723669,NA,0.0170411491272725,5.00333979417107,NA,"two_edge_center","Deans
16 Aug"
"Deans","2022-08-30",0.00789894043623148,1.7869373963427,NA,0.00461033976008226,1.06084470993068,NA,0.0116852669070025,2.4196489866145,NA,"two_edge_center","Deans
30 Aug"
"Pick","2022-09-13",0.400934135215708,-3.02822792124793,NA,0.208105405596314,-9.32182766923884,NA,0.661213936574044,2.61921005593412,NA,"two_edge_center","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0109061550202666,-0.0442718943557029,NA,0.00547628078185522,-0.241899765699929,NA,0.0182006213157212,0.172569440756556,NA,"two_edge_center","Sister
22 Aug"
"Catfish","2022-09-06",0.0134926828008237,3.06822258317404,NA,0.0063534948750629,2.38301898140254,NA,0.0273524396018058,3.84018572951061,NA,"two_edge_center_times","Catfish
06 Sept"
"Catfish","2022-09-18",0.0110521321278249,2.17440680871058,NA,0.00325117267556231,1.65323178311254,NA,0.0218655092877823,2.72236644281778,NA,"two_edge_center_times","Catfish
18 Sept"
"Deans","2022-08-16",0.0115345154924175,2.88604565587717,NA,0.00728730404649446,1.95441087430649,NA,0.0157131434411897,3.77952027000546,NA,"two_edge_center_times","Deans
16 Aug"
"Deans","2022-08-30",0.00590877007862864,1.16073194262951,NA,0.00382926388164944,0.870876041787444,NA,0.00841252760896464,1.50742443315301,NA,"two_edge_center_times","Deans
30 Aug"
"Pick","2022-09-13",0.26768503564263,2.47869925785832,NA,0.174854713929413,-0.0677839323893143,NA,0.38048983754842,4.95685114060254,NA,"two_edge_center_times","Blue Herron
13 Sept"
"Sister3","2022-08-22",0.0143432571303375,-0.411194465673386,NA,0.0078906658627841,-0.551397756516065,NA,0.0225540666615821,-0.273809311840567,NA,"two_edge_center_times","Sister
22 Aug"
